dfi_source,project_id,client_name,project_name,country,region,sector,investment_type,commitment_amount_usd,commitment_currency,commitment_amount_original,approval_date,signing_date,status,es_category,description,project_url,domicile,date_added,country_standardized,is_multi_country,region_standardized,sector_standardized,status_standardized,investment_type_standardized,fund_focus_sector,duplicate_flag
DFC,9000104969,,Syrian Arab Republic,Syria,MENA,Finance and Insurance,DI,30564.75,USD,30564.75,1960,,,,15010 - Economic and Development Policy/Planning,,,2026-04-06,Syria,False,Middle East and North Africa,Financial Services,,Equity,,
DFC,9000104971,,Syrian Arab Republic,Syria,MENA,Finance and Insurance,DI,21591.9,USD,21591.9,1961,,,,15010 - Economic and Development Policy/Planning,,,2026-04-06,Syria,False,Middle East and North Africa,Financial Services,,Equity,,
DFC,9000104973,,Syrian Arab Republic,Syria,MENA,Finance and Insurance,DI,427000.0,USD,427000.0,1962,,,,31191 - Agricultural Services,,,2026-04-06,Syria,False,Middle East and North Africa,Financial Services,,Equity,,
DFC,9000105148,,Democratic Republic Of The Sudan,Sudan,Africa,Finance and Insurance,DI,201922.68,USD,201922.68,1962,,,,31320 - Fishery Development,,,2026-04-06,Sudan,False,Sub-Saharan Africa,Agriculture and Food,,Equity,,
DFC,9000104970,,Syrian Arab Republic,Syria,MENA,Finance and Insurance,DI,36960.01,USD,36960.01,1962,,,,15010 - Economic and Development Policy/Planning,,,2026-04-06,Syria,False,Middle East and North Africa,Financial Services,,Equity,,
DFC,9000105149,,Democratic Republic Of The Sudan,Sudan,Africa,Finance and Insurance,DI,311526.45,USD,311526.45,1963,,,,14020 - Water Supply and Sanitation - Large Systems,,,2026-04-06,Sudan,False,Sub-Saharan Africa,Infrastructure and Transport,,Equity,,
DFC,9000105145,,Credito Somalo as Trustee For,Somalia,Africa,Finance and Insurance,DI,829439.24,USD,829439.24,1965,,,,31320 - Fishery Development,,,2026-04-06,Somalia,False,Sub-Saharan Africa,Agriculture and Food,,Equity,,
DFC,9000105150,,Democratic Republic Of The Sudan,Sudan,Africa,Finance and Insurance,DI,10372140.33,USD,10372140.33,1973,,,,99810 - Sectors not Specified - Includes contributions to general development of the recipient under program 53010(balance of payments support),,,2026-04-06,Sudan,False,Sub-Saharan Africa,Financial Services,,Equity,,
DFC,9000104974,,Syrian Arab Republic,Syria,MENA,Finance and Insurance,DI,29976758.13,USD,29976758.13,1975,,,,53040 - Import Support (commodities),,,2026-04-06,Syria,False,Middle East and North Africa,Financial Services,,Equity,,
DFC,9000104975,,Syrian Arab Republic,Syria,MENA,Finance and Insurance,DI,6342387.5,USD,6342387.5,1975,,,,14010 - Water Resources Policy and Administrative Management,,,2026-04-06,Syria,False,Middle East and North Africa,Infrastructure and Transport,,Equity,,
DFC,9000104979,,Syrian Arab Republic,Syria,MENA,Finance and Insurance,DI,14723624.87,USD,14723624.87,1976,,,,53040 - Import Support (commodities),,,2026-04-06,Syria,False,Middle East and North Africa,Financial Services,,Equity,,
DFC,9000104977,,Syrian Arab Republic,Syria,MENA,Finance and Insurance,DI,6072481.33,USD,6072481.33,1976,,,,31140 - Agricultural Water Resources,,,2026-04-06,Syria,False,Middle East and North Africa,Infrastructure and Transport,,Equity,,
DFC,9000104976,,Syrian Arab Republic,Syria,MENA,Finance and Insurance,DI,2377653.08,USD,2377653.08,1976,,,,14010 - Water Resources Policy and Administrative Management,,,2026-04-06,Syria,False,Middle East and North Africa,Infrastructure and Transport,,Equity,,
DFC,9000104978,,Syrian Arab Republic,Syria,MENA,Finance and Insurance,DI,2200732.53,USD,2200732.53,1976,,,,21020 - Road Transport,,,2026-04-06,Syria,False,Middle East and North Africa,Infrastructure and Transport,,Equity,,
DFC,9000104980,,Syrian Arab Republic,Syria,MENA,Finance and Insurance,DI,39707557.54,USD,39707557.54,1977,,,,53040 - Import Support (commodities),,,2026-04-06,Syria,False,Middle East and North Africa,Financial Services,,Equity,,
DFC,9000104981,,Syrian Arab Republic,Syria,MENA,Finance and Insurance,DI,27076125.15,USD,27076125.15,1977,,,,23040 - Electrical Transmission/Distribution,,,2026-04-06,Syria,False,Middle East and North Africa,Financial Services,,Equity,,
DFC,9000104972,,Syrian Arab Republic,Syria,MENA,Finance and Insurance,DI,20368.94,USD,20368.94,1977,,,,14010 - Water Resources Policy and Administrative Management,,,2026-04-06,Syria,False,Middle East and North Africa,Infrastructure and Transport,,Equity,,
DFC,9000104982,,Syrian Arab Republic,Syria,MENA,Finance and Insurance,DI,10779620.23,USD,10779620.23,1978,,,,53030 - Import Support (capital goods),,,2026-04-06,Syria,False,Middle East and North Africa,Financial Services,,Equity,,
DFC,9000104983,,Syrian Arab Republic,Syria,MENA,Finance and Insurance,DI,8789281.1,USD,8789281.1,1978,,,,53030 - Import Support (capital goods),,,2026-04-06,Syria,False,Middle East and North Africa,Financial Services,,Equity,,
DFC,9000104984,,Syrian Arab Republic,Syria,MENA,Finance and Insurance,DI,1953846.0,USD,1953846.0,1978,,,,21020 - Road Transport,,,2026-04-06,Syria,False,Middle East and North Africa,Infrastructure and Transport,,Equity,,
DFC,9000104985,,Syrian Arab Republic,Syria,MENA,Finance and Insurance,DI,14609745.91,USD,14609745.91,1979,,,,53040 - Import Support (commodities),,,2026-04-06,Syria,False,Middle East and North Africa,Financial Services,,Equity,,
DFC,9000104986,,Syrian Arab Republic,Syria,MENA,Finance and Insurance,DI,7727618.82,USD,7727618.82,1979,,,,14010 - Water Resources Policy and Administrative Management,,,2026-04-06,Syria,False,Middle East and North Africa,Infrastructure and Transport,,Equity,,
